################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-10-02 09:25:46 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-17 07:30:05","67.213.75.205","443","offline","2021-09-08","Dridex"
"2021-01-17 07:44:46","51.178.161.32","4643","online","2021-10-03","Dridex"
"2021-01-17 07:44:50","162.144.127.197","3786","offline","2021-09-08","Dridex"
"2021-01-17 07:45:55","111.230.104.169","3388","online","2021-10-03","Dridex"
"2021-01-17 07:45:58","217.79.184.243","33443","online","2021-10-03","Dridex"
"2021-01-17 07:47:59","46.101.90.205","4643","online","2021-10-03","Dridex"
"2021-01-17 07:48:15","123.206.58.135","8172","offline","2021-09-14","Dridex"
"2021-01-17 07:49:22","78.47.139.43","4443","offline","2021-09-08","Dridex"
"2021-01-17 07:49:46","103.40.116.68","5443","online","2021-10-03","Dridex"
"2021-01-17 07:49:57","178.254.22.25","33443","offline","2021-09-08","Dridex"
"2021-01-17 07:50:03","209.59.199.129","4443","offline","2021-10-01","Dridex"
"2021-01-17 07:50:16","54.38.143.246","691","online","2021-10-03","Dridex"
"2021-01-17 07:50:19","153.122.13.133","1443","offline","2021-09-08","Dridex"
"2021-01-17 07:50:24","142.93.181.37","981","offline","2021-09-08","Dridex"
"2021-01-17 07:50:26","92.38.128.47","3389","online","2021-10-03","Dridex"
"2021-01-17 07:50:46","175.126.167.148","443","offline","2021-09-06","Dridex"
"2021-01-17 07:50:57","52.73.70.149","443","online","2021-10-03","Dridex"
"2021-01-18 09:16:38","36.89.191.119","449","offline","2021-09-08","TrickBot"
"2021-01-18 09:17:45","103.150.68.124","449","offline","2021-09-08","TrickBot"
"2021-01-18 09:22:03","23.160.193.106","443","online","2021-10-03","TrickBot"
"2021-01-20 12:14:25","211.110.44.63","5353","offline","2021-09-08","Dridex"
"2021-01-25 15:26:46","45.33.94.33","5037","offline","2021-09-11","Dridex"
"2021-01-25 15:26:46","97.107.127.161","443","offline","2021-09-08","Dridex"
"2021-01-25 15:26:47","158.69.118.130","1443","online","2021-10-03","Dridex"
"2021-01-26 03:22:41","142.44.247.57","4043","online","2021-10-03","Dridex"
"2021-02-01 11:54:08","192.99.41.136","981","online","2021-10-03","Dridex"
"2021-02-01 11:56:20","185.184.25.235","5037","offline","2021-09-08","Dridex"
"2021-02-02 00:55:55","177.87.0.7","447","online","2021-10-03","TrickBot"
"2021-02-02 18:48:07","45.234.248.154","447","offline","2021-09-13","TrickBot"
"2021-02-02 20:03:38","45.201.134.202","447","online","2021-10-03","TrickBot"
"2021-02-03 16:34:01","159.224.167.102","447","online","2021-10-03","TrickBot"
"2021-02-08 12:27:30","178.128.83.165","443","online","2021-10-03","Dridex"
"2021-02-10 16:14:03","173.203.78.138","443","offline","2021-09-08","Dridex"
"2021-02-16 19:26:32","185.234.72.84","443","offline","2021-09-22","TrickBot"
"2021-02-17 15:50:49","198.1.115.153","8172","offline","2021-09-08","Dridex"
"2021-02-17 15:50:49","209.20.87.138","443","offline","2021-09-08","Dridex"
"2021-02-22 16:57:59","162.13.114.59","443","online","2021-10-03","Dridex"
"2021-02-22 16:57:59","37.187.115.122","6601","online","2021-10-03","Dridex"
"2021-02-23 11:15:18","5.182.210.132","443","online","2021-10-03","TrickBot"
"2021-02-24 14:45:41","209.151.236.42","443","offline","2021-09-08","Dridex"
"2021-03-01 21:11:38","121.199.35.69","443","online","2021-10-03","Dridex"
"2021-03-02 17:58:10","85.88.174.94","447","online","2021-10-03","TrickBot"
"2021-03-04 03:09:22","103.73.102.174","447","online","2021-10-03","TrickBot"
"2021-03-05 21:29:01","111.235.66.83","447","online","2021-10-03","TrickBot"
"2021-03-07 23:49:28","62.64.9.237","447","online","2021-10-03","TrickBot"
"2021-03-08 06:39:25","94.74.133.76","447","offline","2021-09-08","TrickBot"
"2021-03-10 15:58:44","144.76.42.74","6601","online","2021-10-03","Dridex"
"2021-03-14 10:40:47","195.210.28.233","6601","offline","2021-09-29","Dridex"
"2021-03-21 21:26:44","5.182.210.254","443","online","2021-10-03","TrickBot"
"2021-03-22 12:53:59","37.247.35.130","6601","online","2021-10-03","Dridex"
"2021-03-23 14:15:14","216.177.161.118","447","online","2021-10-03","TrickBot"
"2021-03-24 14:51:47","108.55.14.158","447","online","2021-10-03","TrickBot"
"2021-03-26 06:55:15","195.8.114.137","447","offline","2021-09-08","TrickBot"
"2021-03-26 12:31:09","18.195.23.231","443","online","2021-10-03","Dridex"
"2021-04-04 20:56:22","216.10.251.121","6601","online","2021-10-03","Dridex"
"2021-04-05 17:24:06","51.91.76.89","2303","online","2021-10-03","Dridex"
"2021-04-07 19:30:27","185.148.168.220","2303","online","2021-10-03","Dridex"
"2021-04-08 23:50:56","131.100.24.199","2303","online","2021-10-03","Dridex"
"2021-04-09 06:56:12","94.28.78.200","447","online","2021-10-03","TrickBot"
"2021-04-09 08:37:23","181.143.251.154","447","online","2021-10-03","TrickBot"
"2021-04-13 07:29:54","77.232.163.203","449","online","2021-10-03","TrickBot"
"2021-04-13 07:32:30","87.97.178.92","449","online","2021-10-03","TrickBot"
"2021-04-13 07:32:31","91.243.125.5","443","offline","2021-10-03","TrickBot"
"2021-04-13 07:32:31","181.143.251.154","449","online","2021-10-03","TrickBot"
"2021-04-13 07:32:31","185.94.172.15","449","online","2021-10-03","TrickBot"
"2021-04-13 07:32:42","180.178.109.222","443","offline","2021-09-14","TrickBot"
"2021-04-15 22:29:14","87.97.178.92","447","online","2021-10-03","TrickBot"
"2021-04-19 13:35:52","185.148.168.25","2303","online","2021-10-03","Dridex"
"2021-04-22 18:33:10","154.79.244.182","443","offline","2021-09-08","TrickBot"
"2021-04-22 22:04:30","178.134.47.166","443","offline","2021-09-08","TrickBot"
"2021-04-22 22:04:30","154.79.251.172","443","offline","2021-09-08","TrickBot"
"2021-04-22 22:04:31","158.181.179.229","443","offline","2021-09-08","TrickBot"
"2021-04-29 05:29:39","193.47.240.8","447","offline","2021-09-08","TrickBot"
"2021-04-29 19:37:00","153.126.165.175","6601","online","2021-10-03","Dridex"
"2021-04-29 22:22:18","178.254.33.197","2303","online","2021-10-03","Dridex"
"2021-05-05 15:57:11","45.55.134.126","443","offline","2021-09-06","Dridex"
"2021-05-07 08:31:02","210.65.244.176","443","offline","2021-09-08","Dridex"
"2021-05-07 08:31:04","37.34.58.210","6601","offline","2021-09-08","Dridex"
"2021-05-07 08:32:09","210.65.244.182","443","offline","2021-09-08","Dridex"
"2021-05-07 08:32:56","131.100.24.231","443","offline","2021-09-08","Dridex"
"2021-05-07 08:35:50","103.9.77.211","5353","offline","2021-09-08","Dridex"
"2021-05-07 08:41:54","162.144.76.184","2303","offline","2021-09-08","Dridex"
"2021-05-13 04:12:25","43.229.206.212","443","online","2021-10-03","Dridex"
"2021-05-13 22:52:56","1.234.20.244","3889","offline","2021-09-08","Dridex"
"2021-05-14 19:25:56","180.250.21.2","13721","offline","2021-09-08","Dridex"
"2021-05-16 19:49:32","1.234.21.73","6601","online","2021-10-03","Dridex"
"2021-05-16 19:49:33","178.128.23.9","4125","online","2021-10-03","Dridex"
"2021-05-17 16:26:20","192.163.233.216","6601","offline","2021-09-08","Dridex"
"2021-05-17 16:26:22","43.229.206.244","4125","online","2021-10-03","Dridex"
"2021-05-19 18:26:11","162.241.41.92","2303","offline","2021-09-30","Dridex"
"2021-05-19 18:26:12","210.65.244.187","443","offline","2021-09-08","Dridex"
"2021-05-20 20:36:17","103.253.145.28","4125","online","2021-10-03","Dridex"
"2021-05-20 20:36:19","180.250.21.5","13721","offline","2021-09-08","Dridex"
"2021-05-21 12:52:24","144.48.139.206","443","offline","2021-09-08","TrickBot"
"2021-05-22 13:05:56","185.9.187.10","443","offline","2021-09-08","TrickBot"
"2021-05-22 15:37:10","14.241.244.60","443","offline","2021-09-08","TrickBot"
"2021-05-23 12:57:48","103.164.180.66","447","online","2021-10-03","TrickBot"
"2021-05-24 14:24:06","186.97.172.178","443","offline","2021-09-08","TrickBot"
"2021-05-24 14:24:07","177.67.137.111","443","offline","2021-09-08","TrickBot"
"2021-05-24 14:24:07","189.206.78.155","443","offline","2021-09-08","TrickBot"
"2021-05-24 14:24:12","187.19.167.233","443","offline","2021-09-08","TrickBot"
"2021-05-24 19:05:48","49.156.34.134","447","online","2021-10-03","TrickBot"
"2021-05-25 18:26:08","203.114.109.114","443","offline","2021-09-14","Dridex"
"2021-05-26 20:39:19","190.109.204.126","443","online","2021-10-03","TrickBot"
"2021-05-27 21:39:56","94.183.237.101","443","offline","2021-09-08","TrickBot"
"2021-05-27 21:40:00","46.209.140.220","443","offline","2021-09-08","TrickBot"
"2021-05-27 21:40:01","88.150.240.129","443","offline","2021-09-08","TrickBot"
"2021-05-27 21:40:15","103.12.160.164","443","offline","2021-09-08","TrickBot"
"2021-05-29 01:04:21","91.83.88.122","443","online","2021-10-03","TrickBot"
"2021-06-02 01:31:20","94.23.86.141","13783","offline","2021-09-14","Dridex"
"2021-06-02 01:31:21","162.214.188.105","8172","online","2021-10-03","Dridex"
"2021-06-05 20:28:44","162.214.106.107","13783","online","2021-10-03","Dridex"
"2021-06-08 02:01:29","51.77.82.110","9987","online","2021-10-03","Dridex"
"2021-06-08 02:01:30","207.210.192.60","8172","online","2021-10-03","Dridex"
"2021-06-09 17:16:27","45.79.91.89","9987","online","2021-10-03","Dridex"
"2021-06-14 19:01:23","50.116.54.215","13786","online","2021-10-03","Dridex"
"2021-06-17 16:25:27","162.214.127.16","6051","online","2021-10-03","Dridex"
"2021-06-18 08:53:41","91.235.129.8","443","online","2021-10-03","TrickBot"
"2021-06-18 08:56:49","181.112.157.42","443","online","2021-10-03","TrickBot"
"2021-06-20 06:56:41","97.83.40.67","443","offline","2021-09-08","TrickBot"
"2021-06-21 04:28:31","139.59.59.242","443","online","2021-10-03","Dridex"
"2021-06-21 04:28:32","91.207.28.33","13786","online","2021-10-03","Dridex"
"2021-06-21 06:46:36","178.128.197.110","4664","online","2021-10-03","Dridex"
"2021-06-21 13:00:34","91.191.172.124","13783","offline","2021-09-08","Dridex"
"2021-06-21 17:46:38","144.76.1.150","443","online","2021-10-03","Dridex"
"2021-06-21 17:46:40","104.168.154.79","5007","offline","2021-09-08","Dridex"
"2021-06-22 11:09:48","148.235.154.164","443","online","2021-10-03","TrickBot"
"2021-06-22 11:09:49","190.145.83.98","443","online","2021-10-03","TrickBot"
"2021-06-22 21:58:28","41.77.185.182","443","offline","2021-09-20","TrickBot"
